Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
UGC10337, 244.86898715, 7.27885116, 0.02935575, 8806.72500000, 128.72801869, 14.85396000, 13.56516860, 74.92350741, -24.82983798, 11.09868790, 0.48668829, 8.5755909, 0.00000000
UGC10388, 246.76238542, 16.38229432, 0.01533776, 4601.32800000, 66.53334559, 10.90584000, 3.79537971, 71.39430643, 37.72223520, 10.62024751, -1.07705833, NaN, 0.00000000
UGC10905, 263.52664415, 25.34405143, 0.02567263, 7701.78900000, 112.25967771, 12.37104000, 5.18321711, 57.79260024, 48.14651605, 11.32603423, 0.22674362, NaN, 0.00000000
UGC10972, 266.59116152, 26.54360196, 0.01526401, 4579.20300000, 66.20961720, 19.30896000, 9.36751153, 79.25635989, -35.57705145, 10.73604582, -0.05909324, 8.5081512, 0.00000000
UGC11649, 313.86516078, -1.22513921, 0.01252013, 3756.03900000, 54.19131220, 14.54112000, 5.21957157, 42.04277757, -12.36047993, 10.61359613, -0.48900649, 8.5824985, 0.00000000
UGC11680NED02, 316.94098374, 3.87790923, 0.02615270, 7845.81000000, 114.40109672, 9.90000000, 1.93236638, 0.00000000, -18.94000000, 10.87928623, 0.92008251, 8.5085924, 0.00000000
UGC11717, 319.64765112, 19.71871931, 0.02093517, 6280.55100000, 91.21009009, 11.77308000, 9.97244496, 62.01429413, -41.28247972, 11.08226736, 0.60385432, 8.5594454, 3.00000000
UGC11792, 325.55293752, 5.61498832, 0.01586364, 4759.09200000, 68.84277726, 17.38836000, 8.69165999, 76.65598489, 62.96703281, 10.60630363, 0.11366495, 8.477438, 0.00000000
UGC11958, 333.69530235, 13.84089540, 0.02617404, 7852.21200000, 114.49632241, 17.00820000, 17.87527191, 56.45704004, 58.01461121, 11.22363123, -0.36807289, NaN, 3.00000000
UGC11982, 334.71930637, -1.05842520, 0.01553659, 4660.97700000, 67.40629982, 12.29976000, 8.34769605, 80.15808458, 80.00882553, 9.99949876, -0.34188361, 8.3951095, 0.00000000
UGC12224, 343.15979506, 6.09383844, 0.01156330, 3468.99000000, 50.01230808, 22.41756000, 7.50525838, 47.18949644, -27.11323704, 10.31184356, -0.12317818, 8.5174582, 0.00000000
UGC12250, 343.89956184, 12.79027759, 0.02398826, 7196.47800000, 104.75846877, 12.79080000, 9.59823486, 57.17595564, 13.64674125, 11.05350584, 0.26288780, 8.55648, 0.00000000
UGC12274, 344.58165086, 26.06204399, 0.02540706, 7622.11800000, 111.07572583, 12.39480000, 9.86454148, 73.05899758, 54.48343870, 11.12106464, -0.72446934, 8.4614485, 0.00000000
UGC12348, 346.32679002, 0.19119974, 0.02509675, 7529.02500000, 109.69291202, 12.42648000, 12.56668418, 73.87770321, 44.51243790, 10.92585093, 0.82818966, NaN, 2.00000000
UGC12518, 350.05308014, 7.93223334, 0.01267298, 3801.89400000, 54.85946531, 9.02880000, 4.36513603, 83.97915631, -64.93212797, 10.41864285, -1.38367441, NaN, 0.00000000
UGC12519, 350.01146478, 15.95268759, 0.01450509, 4351.52700000, 62.88043805, 11.72556000, 6.43332457, 76.47682673, 69.16547138, 10.47573577, 0.36025976, 8.5492029, 0.00000000
UGC12633, 352.55690933, 15.76143723, 0.01382341, 4147.02300000, 59.89339966, 10.93752000, 3.87730589, 42.46360089, 48.30003274, 10.67536194, 0.89136232, 8.4807628, 0.00000000
