# %ECSV 0.9
# ---
# datatype:
# - {name: target, datatype: string}
# - {name: dist, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
target,dist
PGC1273459,104.79088169371428
2MASXJ01331766+1319567,38.476036732
2MASXJ09065870+2047103,342.2654046554286
2MASXJ09591230-0900095,139.86597284285713
PGC1584809,138.0168664502857
ARP180,60.05178268857143
ARP220,77.45509167028571
NGC3774,88.22927358571428
PGC055890,103.92684727371429
IC0225,20.919815692
PGC023756,128.60896703885714
PGC029001,147.196424604
UGC03555,65.34688681771429
CGCG429-012,74.70216120628572
PGC069525,99.302262948
CGCG 452-043 NED02,104.12232998057144
PGC072179,105.93917680628572
UGC06583,88.91267154514287
PGC035943,94.13623987085714
PGC036082,97.24081672742857
PGC036132,96.57697131714285
PGC036330,109.76544381371428
PGC036323,88.01684818857143
PGC036349,85.33887629371429
PGC036371,89.1280918622857
PGC036406,99.18610283657144
NGC3860,80.36829313885715
UGC06719,93.40150042571429
NGC2949,203.09900234000003
SDSSJ170417.56+175124.6,340.83704173828573
ESO539-G014,100.69472960971429
ESO540-G003,47.257441664
PGC36330,110.05205765771429
PGC092948,193.844100556
PGC093282,325.2711161765714
IC0159,55.29028773428571
IC0208,48.86216258457143
IC0307,110.2614453502857
IC0480,65.21737791999999
IC0485,117.76970979028572
IC0540,28.668957269142858
IC0776,35.718186042285716
PGC039754,19.41602357542857
UGC08219,38.48634781371429
IC0944,99.15619642114285
IC0994,104.60493994628571
UGC09275,17.557333438857142
IC1078,122.72176722571429
IC1079,124.35391305657143
IC1151,30.64765812857143
IC1199,66.73391983885715
IC1256,67.00414719199999
UGC12505,86.75881065028572
IC1528,53.50617110571429
IC1602,234.02762674914285
IC1755,111.89735622342857
IC2095,41.09483756457143
IC2098,39.998910767428576
IC2101,64.01928156628571
IC2247,60.935284088571436
IC2341,72.52100375485715
IC2361,30.145281690857143
UGC04409,106.25518365085715
IC2407,86.54398931714285
IC2481,75.63080032914286
IC2487,61.309264027428576
IC3065,13.672237645714285
PGC040616,14.065727349142858
IC3586,23.069825975428575
IC3598,108.97131938342856
IC3631,41.06762657714286
IC3652,7.6034173268571426
IC3918,93.56990049885714
IC4215,55.32952118628572
PGC053707,195.55954794742857
IC4534,69.26616748342856
UGC10021,30.685993104571427
IC5309,57.90245695828572
IC701,86.97611348857141
PGC1066013,227.36512771714283
MCG+02-35-020,105.0439952182857
MCG+03-20-011,224.60321249314285
PGC1561674,276.72581612799996
PGC1242850,177.3769607817143
2MASXJ11123493+1204206,196.64204038914284
PGC1530175,283.54730262742856
PGC1690176,256.189050704
MCG-01-01-012,80.55817106685716
MCG-01-09-006,123.64895167314285
MCG-01-10-015,57.44799924057143
MCG-01-10-019,74.66468192171429
MCG-01-33-007,18.49606972057143
MCG-01-52-012,54.35476029542857
MCG-01-54-016,41.43506047657142
MCG-02-02-030,50.43145788
MCG-02-02-040,48.630484130285716
MCG-02-02-086,237.53994057142856
MCG-02-08-014,71.75045362342858
MCG-02-51-004,80.25855071314285
PGC069682,167.2286743617143
PGC043632,76.821494952
NGC0001,64.01735626057143
NGC0014,11.957902653142858
NGC0023,64.78187376742858
NGC0036,85.24778794114286
NGC0155,87.85131468171427
NGC0160,74.72274058514286
NGC0165,83.77060782800001
NGC0169,65.62297565714285
NGC0171,54.61673022628572
NGC0180,74.55665087885714
NGC0192,59.19532113771428
NGC0197,51.25009786971429
NGC0214,63.37374795257143
NGC0216,21.549347876
NGC0234,62.675161470285715
NGC0237,58.468068992571425
NGC0257,75.17197858514285
NGC0309,80.75887349142857
NGC0364,72.69021673485715
NGC0426,74.59922152742857
NGC0429,81.33774874285714
NGC0548,76.37644984
NGC0570,78.76862079771428
